List_name,List_Mobile,List_Address
Humraj Fashion Garments,+91 97951 98669,"1178, W 2"
Dada Garments,+91 90268 94795,"Bansmandi Road Bans Mandi Chauraha, Rai Purwa"
M/S Jannat Garments & Girls Wear,+91 93385 63249,"Shop No. 5 And 6, 1st Floor, Super Hamraz Complex, Latouche Rd"
Rupali Dresses,+91 93057 04360,Colonel Ganj
cox jeans,+91 94150 44108,"133/20, Kidwainagar Rd, M Block, Kidwai Nagar, Kanpur, Uttar Pradesh 208011, yadav market"
Red Chilli Garments,+91 98890 82076,"Shop No. 1, 102/160, Syed Mohammed Raza Rd"
AK Garments,,"63/3, The Mall"
Swati Selection Women's World,Open ⋅ Closes 10PM,41/3
R. K. Traders,+91 94150 52301,"Basement-C Nafees Tower, S.B.I. Bank Building, 80/78, Railway Rd"
Dollar Industries Ltd Kanpur,+91 80776 59435,"Ug-A7 Kanpur Hosiery Market, 73/18 Collector Ganj"
Satya Narayan Sushil Kumar,+91 93362 26291,"Shop No. 48/18, Bhiharilal Gupta Rd"
Rider Traders,+91 93350 77766,"Shop No. B-11, 80/68, Railway Rd"
Kohli Vastra Bhandar & Saree Bhandar,+91 98388 39947,"121/636, Vijay Nagar Chauraha, ph no. 9935119316"
Hummer Casuals,+91 95801 64422,"Shop No. C-1, Lower Ground, Railway Rd"
SHRI NATH SALES,Open ⋅ Closes 9PM,+91 98392 21050
Biba Apparels,+91 512 230 4120,"Shop No. G-6, 16/113, Z Square Shopping Mall, MG Road"
Shree Anil Emporium,+91 98895 07877,Meston Rd
HEENA GARMENTS,+91 99354 14125,"111/110, REHMANI MARKET,"
Mehwish Garments,+91 85659 12864,Ramlala Road
Anuradha Garments,Open ⋅ Closes 10PM,Barra - 6 - Road
Mumbai Indians,+91 98073 37319,"C2, Lower Ground, Railway Rd, New Humraj Market, Cooperganj"
New Bombay Fashion,+91 73885 14780,"Shop No. 16-17, Ground Floor, A.R. Tower, Railway Rd"
Pret A Porter,+91 99992 75312,"128/98, B Block, Kanpur"
Gloria Shirts,+91 83188 38876,"89/165A, Bans Mandi Rd"
H. A. Madni Collection,+91 93356 60751,"102/161, Chipyana Road"
Ali Raza Garments®,+91 77859 46039,98/155
Anjum Traders,+91 98395 64684,"L-G-A-5, Railway Rd"
Siyaram,+91 512 231 1794,"53/08, Birhana Rd"
kapoor foot wear,+91 97947 73822,"shop no.8/7,vidyarthi market"
Mercy industry,,"97/288 readymade market, kanpur"
Elgin Mills,,VIP Rd
A N Z Enterprises,+91 93361 71486,"157/4, Near Centre Park kanpur"
Mom Vision,+91 78448 86560,"Shop No.56 Ground Floor,, Ajay Complex, Cooperganj,"
M. B. A. Garments Selicon Shirts,+91 93695 31010,"shop No. 15-B, 3rd Floor, Hamraz Complex, Railway Rd"
Alenza Fashion,+91 93363 20542,"101/362, Ubaydah Bin Jarrah St"
Hemant Traders,+91 94151 34586,Railway Rd
Comfort Fashion Creation,+91 99352 75455,"101/384, Ubaydah Bin Jarrah St"
Mahesh Cloth Store,+91 98391 16600,"8/80, Sabji Mandi Rd"
Shri Bala Ji Traders,+91 93071 22122,"Shop No. B-4, Ground Floor, 80/68, Railway Rd"
UCO TEXTILE(undergarments manufacturer),+91 83189 18825,"284, Shivkatra Ave"
World fashion,+91 79058 58726,101 /398 A near airtel tower nili posh road colonel gang kanpur 208001 mob no 79
Raj Ratan,+91 90440 04318,"106, 6, P Rd"
Ankit Sarees,+91 87952 15555,"Gopal Talkies Building, 106/402 A Churaha, P Rd"
